Source,Target,Weight,Type
Ganbat,NaranbuuveiP2-23○,1,Undirected
Q6-13○,杉本 侑嗣B4-1,1,Undirected
Q6-13○,E10-2○,1,Undirected
ナン難波 英嗣B7-5,B7-6,1,Undirected
関根 聡C10-2,Q2-2,1,Undirected
関根 聡C10-2,Q2-3,1,Undirected
関根 聡C10-2,Q2-4,1,Undirected
関根 聡C10-2,Q7-1,1,Undirected
関根 聡C10-2,P7-6,1,Undirected
関根 聡C10-2,Q8-13,1,Undirected
P7-8,加藤大貴Q10-6,1,Undirected
P7-8,駒水孝裕Q10-6,1,Undirected
P7-8,平山高嗣Q10-6,1,Undirected
P7-8,松平茅隼Q10-6,1,Undirected
P7-8,小町 守D1-1,1,Undirected
P7-8,D1-6,1,Undirected
P7-8,E6-4,1,Undirected
P7-8,P2-22,1,Undirected
P7-8,P7-9,1,Undirected
P7-8,P7-12,1,Undirected
P7-8,P8-18,1,Undirected
P7-25,青木 洋一P7-20,1,Undirected
P7-25,斉藤 いつみB8-6○,1,Undirected
P7-25,P5-6,1,Undirected
P7-25,P7-20,1,Undirected
P7-25,田中 涼太C9-4○,1,Undirected
P7-25,Q4-17,1,Undirected
P7-25,Q7-23J,1,Undirected
A11-4○,大井聖也A6-1,1,Undirected
A11-4○,A6-4,1,Undirected
A11-4○,A8-5,1,Undirected
オヤ小山田 昌史A1-5,Q4-14,1,Undirected
オヤ小山田 昌史A1-5,Q4-23,1,Undirected
オヤ小山田 昌史A1-5,P5-3,1,Undirected
P5-17,スド須藤 克仁P1-11,1,Undirected
P5-17,Q3-20,1,Undirected
P5-17,Q7-24J,2,Undirected
P5-17,中村 哲P1-11,1,Undirected
アリ有木康雄P8-4,P8-11,1,Undirected
ShanshanQ2-11○,Liu,1,Undirected
ShanshanQ2-11○,P12-9,1,Undirected
ShanshanQ2-11○,P12-13○,1,Undirected
松本裕治 (理研),渡辺太郎 (NAIST),1,Undirected
P2-4○,岡 佑依A1-3,1,Undirected
イソ磯暁B5-2,H10-4,1,Undirected
ニイ新国佳祐Q10-5,Q10-11,1,Undirected
H3-4,高村大也H3-1,1,Undirected
H3-4,P7-4,1,Undirected
H3-4,P11-9,1,Undirected
H3-4,P12-8,1,Undirected
H3-4,P12-13,1,Undirected
Feng,XincanC4-2○,1,Undirected
藤田 澄男Q2-1,Q2-10,1,Undirected
竹中 誠A6-6○,Q1-19○,1,Undirected
C4-1,アキ秋葉友良P1-21,1,Undirected
C4-1,A3-1,1,Undirected
C4-1,C4-3,1,Undirected
C4-1,B6-2,2,Undirected
C4-1,P6-2,2,Undirected
C4-1,C8-2,1,Undirected
C4-1,A9-3,1,Undirected
C4-1,荒木健治A1-1,1,Undirected
C4-1,P8-13,1,Undirected
C4-1,シブ渋木英潔P2-10,1,Undirected
C4-1,B4-4,1,Undirected
Bhattacharjee,BishwaranjanA3-5,1,Undirected
Bhattacharjee,Q4-25,1,Undirected
A10-5,シラ白井清昭A1-3,1,Undirected
A10-5,P2-13,1,Undirected
A10-5,P4-3,1,Undirected
A10-5,P5-14,1,Undirected
A10-5,P6-25,1,Undirected
青木 洸士郎E8-2○,Q8-15,1,Undirected
Souhaib BenE10-3,Taieb,1,Undirected
HourP2-20○,Kaing,1,Undirected
HourP2-20○,P6-3,1,Undirected
D10-1,オト乙武北斗B3-4,1,Undirected
D10-1,Q7-10,1,Undirected
D10-1,コバ小林暁雄B3-4,1,Undirected
Kāle,MaijaB10-1,1,Undirected
